  Scene.cpp
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(320,133): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(321,145): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(330,126): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(331,145): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(364,179): warning C4244: 'argumento': conversión de 'float' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(371,114): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(372,140): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(373,121): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(383,116): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(387,115): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(390,134): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(395,159): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(396,162): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(403,127): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(412,126): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\pang\Scene.cpp(413,145): warning C4244: 'argumento': conversión de 'double' a 'int'; posible pérdida de datos
  pang.vcxproj -> C:\Users\polfo\PANG-VJ-Q2-23-24\Projecte\Debug\pang.exe
